Game_Start_Time,Round,Player_Name,Human_Total,Human_Round_Score,Sawyer_Total,Sawyer_Round_Score,Human_Block_1,Human_Block_2,Human_Block_3,Sawyer_Block_1,Sawyer_Block_2,Sawyer_Block_3
30-05-2019_14:27:27,1,N/A,18,18,18,18,rs,bt,gc,rc,gt,bs
30-05-2019_14:27:27,2,N/A,13.25,-4.75,36,18,bs,rt,bc,rs,gc,bt
30-05-2019_14:27:27,3,N/A,9,-4.25,31.25,-4.75,gs,gc,rt,rs,rc,bc
30-05-2019_14:27:27,4,N/A,27,18,49.25,18,rs,bt,gc,rc,gt,bs
30-05-2019_14:27:27,5,N/A,23.25,-3.75,42.25,-7,bc,gt,gs,rs,bs,gc
30-05-2019_16:15:19,1,Jacob,18,18,18,18,rs,bt,gc,rc,gt,bs
30-05-2019_16:15:19,2,Jacob,13,-5,13.5,-4.5,bs,gt,rt,rs,rc,gc
30-05-2019_16:15:19,3,Jacob,9,-4,6.75,-6.75,bc,gt,bs,rs,gs,gc
30-05-2019_16:15:19,4,Jacob,27,18,24.75,18,rs,bt,gc,rc,gt,bs
30-05-2019_16:15:19,5,Jacob,23.75,-3.25,19.75,-5,gc,gs,bc,rs,gt,bt
30-05-2019_16:26:58,1,N/A,18,18,18,18,rs,bt,gc,rc,gt,bs
30-05-2019_16:26:58,2,N/A,12.75,-5.25,13.5,-4.5,bs,bt,rt,rs,rc,gc
30-05-2019_16:26:58,3,N/A,30.75,18,31.5,18,rs,bt,gc,rc,gt,bs
30-05-2019_16:26:58,4,N/A,27,-3.75,24.5,-7,gt,bc,gs,rs,bs,gc
30-05-2019_16:26:58,5,N/A,21.25,-5.75,21,-3.5,rs,bt,rt,gc,bs,bc
30-05-2019_16:37:04,1,Jacob,18,18,18,18,rs,bt,gc,rc,gt,bs
30-05-2019_16:37:04,2,Jacob,36,18,36,18,rs,bt,gc,rc,gt,bs
30-05-2019_16:37:04,3,Jacob,46,10,76,40,rt,bt,gt,rs,bs,gs
30-05-2019_16:37:04,4,Jacob,86,40,86,10,rs,bs,gs,rt,bt,gt
30-05-2019_16:37:04,5,Jacob,104,18,79,-7,rt,bc,gs,rs,bs,gc
